代码,简称
000001.SH,上证综指
000017.SH,新综指
000002.SH,上证A指
000003.SH,上证B指
000020.SH,中型综指
000090.SH,上证流通
000008.SH,上证综合股指数
000005.SH,上证商业类指数
000007.SH,上证公用事业股指数
000004.SH,上证工业类指数
000006.SH,上证房地产指数
H00020.SH,中企收益
H00090.SH,上证流通全收益
000010.SH,上证180
000016.SH,上证50
000009.SH,上证380
000132.SH,上证100
000133.SH,上证150
000043.SH,超大盘
000044.SH,上证中盘
000045.SH,上证小盘
000046.SH,上证中小
000047.SH,上证全指
000155.SH,上证市值百强
N00010.SH,上证180净收益
N00016.SH,上证50净收益
N00009.SH,上证380净收益
N00132.SH,上证100净收益
N00133.SH,上证150净收益
N00043.SH,上证超级大盘净收益
N00044.SH,上证中盘净收益
N00045.SH,上证小盘净收益
N00046.SH,上证中小净收益
N00047.SH,上证全指净收益
H00010.SH,上证180全收益
H00016.SH,上证50全收益
H00009.SH,上证380全收益
H00132.SH,上证100全收益
H00133.SH,上证150全收益
H00043.SH,超大盘全收益
H00044.SH,上证中盘全收益
H00045.SH,上证小盘全收益
H00046.SH,上证中小全收益
H00047.SH,上证全指全收益
H00155.SH,上证市值百强全收益
000032.SH,上证能源
000033.SH,上证材料
000034.SH,上证工业
000035.SH,上证可选
000036.SH,上证消费
000037.SH,上证医药
000038.SH,上证金融
000039.SH,上证信息
000040.SH,上证电信
000041.SH,上证公用
H00032.SH,上证能源全收益
H00033.SH,上证材料全收益
H00034.SH,上证工业全收益
H00035.SH,上证可选全收益
H00036.SH,上证消费全收益
H00037.SH,上证医药全收益
H00038.SH,上证金融全收益
H00039.SH,上证信息全收益
H00040.SH,上证电信全收益
H00041.SH,上证公用全收益
H50001.SH,180能源
H50002.SH,180材料
H50003.SH,180工业
H50004.SH,180可选
H50005.SH,180消费
H50006.SH,180医药
H50007.SH,180金地
H50008.SH,180信息
H50009.SH,180电信
H50010.SH,180公用
000104.SH,380能源
000105.SH,380材料
000106.SH,380工业
000107.SH,380可选
000108.SH,380消费
000109.SH,380医药
000110.SH,380金融
000111.SH,380信息
000112.SH,380电信
000113.SH,380公用
H40001.SH,180能源全收益
H40002.SH,180材料全收益
H40003.SH,180工业全收益
H40004.SH,180可选全收益
H40005.SH,180消费全收益
H40006.SH,180医药全收益
H40007.SH,180金地全收益
H40008.SH,180信息全收益
H40009.SH,180电信全收益
H40010.SH,180公用全收益
H00104.SH,380能源全收益
H00105.SH,380材料全收益
H00106.SH,380工业全收益
H00107.SH,380可选全收益
H00108.SH,380消费全收益
H00109.SH,380医药全收益
H00110.SH,380金融全收益
H00111.SH,380信息全收益
H00112.SH,380电信全收益
H00113.SH,380公用全收益
950050.SH,沪红利配置
H50041.CSI,上证RP
H50061.CSI,50美元对冲
H50062.CSI,180美元对冲
H50063.CSI,380美元对冲
000050.SH,50等权
000051.SH,180等权
000052.SH,50基本
000053.SH,180基本
000070.SH,能源等权
000071.SH,材料等权
000072.SH,工业等权
000073.SH,可选等权
000074.SH,消费等权
000075.SH,医药等权
000076.SH,金融等权
000077.SH,信息等权
000078.SH,电信等权
000079.SH,公用等权
000093.SH,180分层
000098.SH,上证F200
000099.SH,上证F300
000100.SH,上证F500
000115.SH,380等权
000128.SH,380基本
000129.SH,180波动
000130.SH,380波动
000135.SH,上证180高贝塔
000136.SH,上证180低贝塔
000137.SH,上证380高贝塔
000138.SH,上证380低贝塔
H00050.SH,50等权全收益
H00051.SH,180等权全收益
H00052.SH,50基本全收益
H00053.SH,180基本全收益
H00070.SH,能源等权全收益
H00071.SH,材料等权全收益
H00072.SH,工业等权全收益
H00073.SH,可选等权全收益
H00074.SH,消费等权全收益
H00075.SH,医药等权全收益
H00076.SH,金融等权全收益
H00077.SH,信息等权全收益
H00078.SH,电信等权全收益
H00079.SH,公用等权全收益
H00093.SH,180分层全收益
H00098.SH,上证F200全收益
H00099.SH,上证F300全收益
H00100.SH,上证F500全收益
H00115.SH,380等权全收益
H00128.SH,380基本全收益
H00129.SH,180波动全收益
H00130.SH,380波动全收益
H00135.SH,上证180高贝塔全收益
H00136.SH,上证180低贝塔全收益
H00137.SH,上证380高贝塔全收益
H00138.SH,上证380低贝塔全收益
000028.SH,180成长
000029.SH,180价值
000030.SH,180R成长
000031.SH,180R价值
000057.SH,全指成长
000058.SH,全指价值
000059.SH,全R成长
000060.SH,全R价值
000117.SH,380成长
000118.SH,380价值
000119.SH,380R成长
000120.SH,380R价值
H00028.SH,180成长全收益
H00029.SH,180价值全收益
H00030.SH,180R成长全收益
H00031.SH,180R价值全收益
H00057.SH,全指成长全收益
H00058.SH,全指价值全收益
H00059.SH,全R成长全收益
H00060.SH,全R价值全收益
H00117.SH,380成长全收益
H00118.SH,380价值全收益
H00119.SH,380R成长全收益
H00120.SH,380R价值全收益
000018.SH,180金融
000021.SH,180治理
000025.SH,180基建
000026.SH,180资源
000027.SH,180运输
000123.SH,上证180动态
000125.SH,上证180稳定
000149.SH,上证180红利
H00018.SH,180金融全收益
H00021.SH,180治理全收益
H00025.SH,180基建全收益
H00026.SH,180资源全收益
H00027.SH,180运输全收益
H00123.SH,上证180动态全收益
H00125.SH,上证180稳定全收益
H00149.SH,上证180红利全收益
000141.SH,上证380动态
000142.SH,上证380稳定
000150.SH,上证380红利
H00141.SH,上证380动态全收益
H00142.SH,上证380稳定全收益
H00150.SH,上证380红利全收益
H50031.SH,沪绿色城
H50032.SH,沪城交通
H50033.SH,沪城消费
H50034.SH,沪城基建
H50035.SH,沪智交通
H50037.SH,上证城镇
H50038.SH,沪智慧城
H40031.SH,沪绿色城全收益
H40032.SH,沪城交通全收益
H40033.SH,沪城消费全收益
H40034.SH,沪城基建全收益
H40035.SH,沪智交通全收益
H40037.SH,上证城镇全收益
H40038.SH,沪智慧城全收益
H50021.SH,沪能源红
H50022.SH,沪材料红
H50023.SH,沪工业红
H50024.SH,沪可选红
H50025.SH,沪消费红
H50026.SH,沪医药红
H50027.SH,沪金融红
H50028.SH,沪信息红
H50029.SH,沪电信红
H50030.SH,沪公用红
H40021.SH,沪能源红全收益
H40022.SH,沪材料红全收益
H40023.SH,沪工业红全收益
H40024.SH,沪可选红全收益
H40025.SH,沪消费红全收益
H40026.SH,沪医药红全收益
H40027.SH,沪金融红全收益
H40028.SH,沪信息红全收益
H40029.SH,沪电信红全收益
H40030.SH,沪公用红全收益
000015.SH,上证红利
000151.SH,上证国企红利
000152.SH,上证央企红利
000153.SH,上证民企红利
H50019.SH,上红回报
H50020.SH,上红潜力
H00019.SH,治理指数全收益
H00042.SH,上证央企全收益
H00048.SH,责任指数全收益
H00049.SH,上证民企全收益
H00054.SH,上证海外全收益
H00055.SH,上证地企全收益
H00056.SH,上证国企全收益
H00062.SH,上证沪企全收益
H00063.SH,上证周期全收益
H00064.SH,非周期全收益
H00065.SH,上证龙头全收益
H00066.SH,上证商品全收益
H00067.SH,上证新兴全收益
H00068.SH,上证资源全收益
H00069.SH,消费80全收益
H00092.SH,资源50全收益
H00094.SH,上证上游全收益
H00095.SH,上证中游全收益
H00096.SH,上证下游全收益
H00097.SH,高端装备全收益
H00102.SH,沪投资品全收益
H00103.SH,沪消费品全收益
H00114.SH,持续产业全收益
H00121.SH,医药主题全收益
H00122.SH,农业主题全收益
H00126.SH,消费50全收益
H00131.SH,上证高新全收益
H00134.SH,上证银行全收益
H00145.SH,优势资源全收益
H00146.SH,优势制造全收益
H00147.SH,优势消费全收益
H00148.SH,消费领先全收益
H00158.SH,上证环保全收益
H40011.SH,沪环渤海全收益
H40012.SH,沪长三角全收益
H40013.SH,沪珠三角全收益
H40014.SH,沪中部全收益
H40015.SH,沪西部全收益
H40016.SH,沪东北全收益
H40017.SH,沪信息业全收益
H40018.SH,上证文化全收益
000019.SH,治理指数
000042.SH,上证央企
000048.SH,责任指数
000049.SH,上证民企
000054.SH,上证海外
000055.SH,上证地企
000056.SH,上证国企
000062.SH,上证沪企
000063.SH,上证周期
000064.SH,非周期
000065.SH,上证龙头
000066.SH,上证商品
000067.SH,上证新兴
000068.SH,上证资源
000069.SH,消费80
000092.SH,资源50
000094.SH,上证上游
000095.SH,上证中游
000096.SH,上证下游
000097.SH,高端装备
000102.SH,沪投资品
000103.SH,沪消费品
000114.SH,持续产业
000121.SH,医药主题
000122.SH,农业主题
000126.SH,上证消费50
000131.SH,上证高新
000134.SH,上证银行
000145.SH,优势资源
000146.SH,优势制造
000147.SH,优势消费
000148.SH,消费领先
000158.SH,上证环保
H50011.SH,沪环渤海
H50012.SH,沪长三角
H50013.SH,沪珠三角
H50014.SH,沪中部
H50015.SH,沪西部
H50016.SH,沪东北
H50017.SH,沪信息业
H50018.SH,上证文化
H00015.SH,上证红利全收益
H00151.SH,上证国企红利全收益
H00152.SH,上证央企红利全收益
H00153.SH,上证民企红利全收益
H40019.SH,上红回报全收益
H40020.SH,上红潜力全收益
399100.SZ,深证新综指
399101.SZ,中小板综
399102.SZ,创业板综
399106.SZ,深证综指
399107.SZ,深证A指
399108.SZ,深证B指
399110.SZ,农林牧渔指数
399120.SZ,采掘业指数
399130.SZ,制造业指数
399131.SZ,食品饮料指数
399132.SZ,纺织服装指数
399133.SZ,木材家具指数
399134.SZ,造纸印刷指数
399135.SZ,石化塑胶指数
399136.SZ,电子指数
399137.SZ,金属非金属指数
399138.SZ,机械设备指数
399139.SZ,医药生物指数
399140.SZ,水电煤气指数
399150.SZ,建筑业指数
399160.SZ,运输仓储指数
399170.SZ,信息技术指数
399180.SZ,批发零售指数
399190.SZ,金融保险指数
399200.SZ,房地产业指数
399210.SZ,社会服务指数
399220.SZ,传播文化指数
399230.SZ,综合类指数
399231.SZ,农林指数
399232.SZ,采矿指数
399233.SZ,制造指数
399234.SZ,水电指数
399235.SZ,建筑指数
399236.SZ,批零指数
399237.SZ,运输指数
399238.SZ,餐饮指数
399239.SZ,IT指数
399240.SZ,金融指数
399241.SZ,地产指数
399242.SZ,商务指数
399243.SZ,科研指数
399244.SZ,公共指数
399248.SZ,文化指数
399249.SZ,综企指数
CN6032.CNI,农副指数
CN6033.CNI,食品指数
CN6034.CNI,饮料指数
CN6036.CNI,纺织指数
CN6037.CNI,服装指数
CN6039.CNI,木材指数
CN6041.CNI,造纸指数
CN6042.CNI,印刷指数
CN6043.CNI,文教指数
CN6044.CNI,石化指数
CN6045.CNI,化学指数
CN6046.CNI,医药指数
CN6047.CNI,化纤指数
CN6048.CNI,橡胶指数
CN6049.CNI,矿物指数
CN6050.CNI,钢铁指数
CN6051.CNI,有色指数
CN6052.CNI,金属指数
CN6053.CNI,通用指数
CN6054.CNI,专用指数
CN6055.CNI,汽车指数
CN6056.CNI,交运指数
CN6057.CNI,电气指数
CN6058.CNI,电子指数
CN6059.CNI,仪表指数
CN6060.CNI,其他指数
399001.SZ,深证成指
399002.SZ,深成指R
399003.SZ,深成B指
399004.SZ,深证100R
399005.SZ,中小板指
399006.SZ,创业板指
399007.SZ,深证300
399008.SZ,中小300
399009.SZ,深证200
399010.SZ,深证700
399011.SZ,深证1000
399012.SZ,创业300
399015.SZ,中小创新
399329.SZ,中小板100指数P
399330.SZ,深证100
399333.SZ,中小板指R
399344.SZ,深证300R
399606.SZ,创业板指R
399611.SZ,中创100R
399612.SZ,中创100
399623.SZ,中小基础
399624.SZ,中创400
399625.SZ,中创500
399640.SZ,创业基础
399679.SZ,深证200R
CN2008.CNI,中小300R
CN2009.CNI,深证200R
CN2010.CNI,深证700R
CN2011.CNI,深证1000R
CN2012.CNI,创业300R
CN2015.CNI,中小创新R
CN2623.CNI,中小基础R
CN2624.CNI,中创400R
CN2625.CNI,中创500R
CN2640.CNI,创业基础R
CN6109.CNI,中创100美元R
399613.SZ,深证能源
399614.SZ,深证材料
399615.SZ,深证工业
399616.SZ,深证可选
399617.SZ,深证消费
399618.SZ,深证医药
399619.SZ,深证金融
399620.SZ,深证信息
399621.SZ,深证电信
399622.SZ,深证公用
399674.SZ,深A医药
399675.SZ,深互联网
399680.SZ,深成能源
399681.SZ,深成材料
399682.SZ,深成工业
399683.SZ,深成可选
399684.SZ,深成消费
399685.SZ,深成医药
399686.SZ,深成金融
399687.SZ,深成信息
399688.SZ,深成电信
399689.SZ,深成公用
CN5122.CNI,中小能源
CN5123.CNI,中小材料
CN5124.CNI,中小工业
CN5125.CNI,中小可选
CN5126.CNI,中小消费
CN5127.CNI,中小医药
CN5128.CNI,中小金融
CN5129.CNI,中小信息
CN5130.CNI,中小电信
CN5131.CNI,中小公用
CN2613.CNI,深证能源R
CN2614.CNI,深证材料R
CN2615.CNI,深证工业R
CN2616.CNI,深证可选R
CN2617.CNI,深证消费R
CN2618.CNI,深证医药R
CN2619.CNI,深证金融R
CN2620.CNI,深证信息R
CN2621.CNI,深证电信R
CN2622.CNI,深证公用R
CN2674.CNI,深A医药R
CN2675.CNI,深互联网R
CN2680.CNI,深成能源R
CN2681.CNI,深成材料R
CN2682.CNI,深成工业R
CN2683.CNI,深成可选R
CN2684.CNI,深成消费R
CN2685.CNI,深成医药R
CN2686.CNI,深成金融R
CN2687.CNI,深成信息R
CN2688.CNI,深成电信R
CN2689.CNI,深成公用R
CN6122.CNI,中小能源R
CN6123.CNI,中小材料R
CN6124.CNI,中小工业R
CN6125.CNI,中小可选R
CN6126.CNI,中小消费R
CN6127.CNI,中小医药R
CN6128.CNI,中小金融R
CN6129.CNI,中小信息R
CN6130.CNI,中小电信R
CN6131.CNI,中小公用R
399632.SZ,深100EW
399633.SZ,深300EW
399634.SZ,中小板EW
399635.SZ,创业板EW
399645.SZ,100低波
399655.SZ,深证绩效
399656.SZ,100绩效
399657.SZ,300绩效
399658.SZ,中小绩效
399659.SZ,深成指EW
399660.SZ,中创EW
399661.SZ,深证低波
399662.SZ,深证高贝
399663.SZ,中小低波
399664.SZ,中小高贝
399665.SZ,中创低波
399666.SZ,中创高贝
399672.SZ,深红利50
399673.SZ,创业板50
399676.SZ,深医药EW
399677.SZ,深互联EW
399690.SZ,中小专利
399691.SZ,创业专利
399692.SZ,创业低波
399694.SZ,创业高贝
399701.SZ,深证F60
399702.SZ,深证F120
399703.SZ,深证F200
930990.CSI,港股通红利低波(HKD)
930991.CSI,港股通红利低波(CNY)
CN5138.CNI,大盘红利
CN5139.CNI,稳进价值
CN5140.CNI,先锋成长
CN5141.CNI,优势价值
CN2632.CNI,深100EWR
CN2633.CNI,深300EWR
CN2634.CNI,中小板EWR
CN2635.CNI,创业板EWR
CN2645.CNI,100低波R
CN2655.CNI,深证绩效R
CN2656.CNI,100绩效R
CN2657.CNI,300绩效R
CN2658.CNI,中小绩效R
CN2659.CNI,深成指EWR
CN2660.CNI,中创EWR
CN2661.CNI,S300低波R
CN2662.CNI,S300高贝R
CN2663.CNI,中小低波R
CN2664.CNI,中小高贝R
CN2665.CNI,中创低波R
CN2666.CNI,中创高贝R
CN2672.CNI,深红利50R
CN2673.CNI,创业板50R
CN2676.CNI,深医药EWR
CN2677.CNI,深互联EWR
CN2690.CNI,中小专利全收益
CN2691.CNI,创业专利全收益
CN2692.CNI,创业低波R
CN2694.CNI,创业高贝R
CN6138.CNI,大盘红利R
CN6139.CNI,稳进价值R
CN6140.CNI,先锋成长R
CN6141.CNI,优势价值R
H20990.CSI,港股通红利低波(全)(HKD)
H20991.CSI,港股通红利低波(全)(CNY)
S00701.SZ,深证F60R
S00702.SZ,深证F120R
S00703.SZ,深证F200R
399346.SZ,深证成长
399348.SZ,深证价值
399602.SZ,中小成长
399604.SZ,中小价值
399626.SZ,中创500成长
399627.SZ,中创500价值
399628.SZ,700成长
399629.SZ,700价值
399630.SZ,1000成长
399631.SZ,1000价值
399667.SZ,创业板G
399668.SZ,创业板V
CN2346.CNI,深证成长R
CN2348.CNI,深证价值R
CN2602.CNI,中小成长R
CN2604.CNI,中小价值R
CN2626.CNI,中创成长R
CN2627.CNI,中创价值R
CN2628.CNI,700成长R
CN2629.CNI,700价值R
CN2630.CNI,1000成长R
CN2631.CNI,1000价值R
CN2667.CNI,创业板GR
CN2668.CNI,创业板VR
399013.SZ,深市精选
399016.SZ,深证创新
399017.SZ,SME创新
399018.SZ,创业创新
399295.SZ,创业蓝筹
399296.SZ,创成长
399324.SZ,深证红利
399328.SZ,深证治理
399335.SZ,深证央企
399337.SZ,深证民营
399339.SZ,深证科技
399341.SZ,深证责任
399608.SZ,科技100
399610.SZ,TMT50
399636.SZ,深证装备
399637.SZ,深证地产
399638.SZ,深证环保
399639.SZ,深证大宗
399641.SZ,深证新兴
399642.SZ,中小新兴
399643.SZ,创业新兴
399646.SZ,深消费50
399647.SZ,深医药50
399649.SZ,中小板红利
399650.SZ,中小板治理
399651.SZ,中小板责任
399652.SZ,中创高新
399653.SZ,深证龙头
399654.SZ,深证文化
399669.SZ,深证农业
399670.SZ,深周期50
399671.SZ,深防御50
399678.SZ,深次新股
399693.SZ,安防产业
399695.SZ,深证节能
399696.SZ,深证创投
399698.SZ,优势成长
399699.SZ,金融科技
399704.SZ,深证上游
399705.SZ,深证中游
399706.SZ,深证下游
